norm_name,norm_phone,norm_city,norm_verified,Projects Completed
Rohit Nair,9000000268,gurgaon,True,13
Ritu Sharma,9000000146,noida,True,15
Priya Saxena,9000000231,delhi,False,12
Arjun Mehta,9000000131,noida,False,9
Nikhil Mehta,9000000104,pune,True,10
Rahul Malhotra,9000000260,delhi,False,4
Deepak Mehta,9000000116,noida,True,11
Sahil Malhotra,9000000143,noida,False,0
Shreya Gupta,9000000227,noida,True,13
Priya Singh,9000000287,gurgaon,True,3
Varun Jain,9000000263,pune,True,14
Tanvi Agarwal,9000000148,pune,False,3
Karan Bhatia,9000000211,noida,True,2
Arjun Mishra,9000000106,delhi,False,10
Isha Kapoor,9000000295,delhi,True,6
Isha Chopra,9000000138,pune,False,7
Meera Bhatia,9000000223,delhi,False,4
Vikram Saxena,9000000113,gurgaon,False,15
Rahul Chopra,9000000137,noida,False,10
Tanvi Gupta,9000000254,bangalore,False,14
Varun Saxena,9000000170,gurgaon,True,1
Sneha Chopra,9000000162,pune,False,14
Deepak Nair,9000000296,bangalore,True,2
Gaurav Mehta,9000000133,bangalore,False,1
Neha Bhatia,9000000273,pune,False,10
Arjun Mehta,9000000272,noida,True,14
Manish Bhatia,9000000161,noida,True,5
Divya Chopra,9000000111,noida,False,5
Karan Chopra,9000000245,pune,False,10
Vikram Mehta,9000000261,pune,True,2
